Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
49947359,03/07/2021 12:00:04 AM,03/07/2021 02:55:35 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,2911 BARNES AVENUE,BARNES AVENUE,ARNOW AVENUE,WILLIAMSBRIDGE ROAD,ARNOW AVENUE,WILLIAMSBRIDGE ROAD,,BRONX,BARNES AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/07/2021 07:55:38 AM,11 BRONX,2045490001,BRONX,1022019,255628,ONLINE,Unspecified,BRONX,,,,,,,,40.8682335539516,-73.86344325864486,"(40.8682335539516, -73.86344325864486)"
49952347,03/07/2021 12:00:17 AM,03/07/2021 12:31:06 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,230 EAST    7 STREET,EAST    7 STREET,AVENUE C,AVENUE D,AVENUE C,AVENUE D,,NEW YORK,EAST    7 STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,03/07/2021 05:31:07 AM,03 MANHATTAN,1003760007,MANHATTAN,990207,203023,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72392593889713,-73.97850865225185,"(40.72392593889713, -73.97850865225185)"
49945354,03/07/2021 12:00:24 AM,03/07/2021 12:25:18 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11204,1647 64 STREET,64 STREET,16 AVENUE,17 AVENUE,16 AVENUE,17 AVENUE,,BROOKLYN,64 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/07/2021 05:25:21 AM,11 BROOKLYN,3055380064,BROOKLYN,986162,165848,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.621890720238184,-73.99311253320779,"(40.621890720238184, -73.99311253320779)"
49944583,03/07/2021 12:00:24 AM,03/07/2021 12:09:00 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10021,506 EAST   75 STREET,EAST   75 STREET,YORK AVENUE,DEAD END,YORK AVENUE,DEAD END,,NEW YORK,EAST   75 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,03/07/2021 05:09:05 AM,08 MANHATTAN,1014860005,MANHATTAN,997579,219306,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7686106452254,-73.95188007618812,"(40.7686106452254, -73.95188007618812)"
49948339,03/07/2021 12:00:30 AM,03/07/2021 01:21:20 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11369,25-47 88 STREET,88 STREET,25 AVENUE,30 AVENUE,25 AVENUE,30 AVENUE,,EAST ELMHURST,88 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/07/2021 06:21:24 AM,03 QUEENS,4013620052,QUEENS,1017192,217405,ONLINE,Unspecified,QUEENS,,,,,,,,40.763341568056745,-73.88108323703531,"(40.763341568056745, -73.88108323703531)"
49948400,03/07/2021 12:00:33 AM,03/07/2021 12:26:30 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11209,8424 3 AVENUE,3 AVENUE,84 STREET,85 STREET,84 STREET,85 STREET,,BROOKLYN,3 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/07/2021 05:26:32 AM,10 BROOKLYN,3060240047,BROOKLYN,975776,166907,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62479360728003,-74.03052663868758,"(40.62479360728003, -74.03052663868758)"
49950534,03/07/2021 12:00:35 AM,03/07/2021 12:36:55 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,1727 74 STREET,74 STREET,17 AVENUE,18 AVENUE,17 AVENUE,18 AVENUE,,BROOKLYN,74 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/07/2021 05:36:57 AM,11 BROOKLYN,3062040073,BROOKLYN,985099,163322,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.61495754058157,-73.9969420230285,"(40.61495754058157, -73.9969420230285)"
49946238,03/07/2021 12:00:41 AM,03/07/2021 01:39:00 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10460,840 BRONX PARK SOUTH,BRONX PARK SOUTH,CROTONA PARKWAY,PASTOR MARIE C NORWOOD WAY,CROTONA PARKWAY,PASTOR MARIE C NORWOOD WAY,,BRONX,BRONX PARK SOUTH,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,03/07/2021 06:39:05 AM,06 BRONX,2031190060,BRONX,1016782,248070,MOBILE,Unspecified,BRONX,,,,,,,,40.84750998190112,-73.88241469419123,"(40.84750998190112, -73.88241469419123)"
49948188,03/07/2021 12:00:46 AM,03/07/2021 12:31:45 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,4 ALICE COURT,ALICE COURT,ATLANTIC AVENUE,DEAD END,ATLANTIC AVENUE,DEAD END,,BROOKLYN,ALICE COURT,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/07/2021 05:31:48 AM,03 BROOKLYN,3018710085,BROOKLYN,1000740,186357,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67816831733184,-73.9405490701393,"(40.67816831733184, -73.9405490701393)"
49945842,03/07/2021 12:00:51 AM,03/07/2021 01:32:40 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11360,23-72 CORPORAL KENNEDY STREET,CORPORAL KENNEDY STREET,23 AVENUE,26 AVENUE,23 AVENUE,26 AVENUE,,BAYSIDE,CORPORAL KENNEDY STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/07/2021 06:32:44 AM,07 QUEENS,4058637501,QUEENS,1044347,223037,MOBILE,Unspecified,QUEENS,,,,,,,,40.77865700644044,-73.78300681395633,"(40.77865700644044, -73.78300681395633)"
